season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2025,1,1,TEN,,WardCa00,cameron-ward-1,Cam Ward,False,QB,QB,O,Miami (FL),23.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,2,JAX,,HuntTr00,travis-hunter-2,Travis Hunter,False,WR,WR,O,Colorado,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,3,NYG,,CartAb00,abdul-carter-1,Abdul Carter,False,DE,DL,D,Penn St.,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,4,NWE,,CampWi01,will-campbell-1,Will Campbell,False,OT,OL,O,LSU,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,5,CLE,,GrahMa00,mason-graham-2,Mason Graham,False,DT,DL,D,Michigan,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,6,LVR,,JeanAs00,ashton-jeanty-1,Ashton Jeanty,False,RB,RB,O,Boise St.,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,7,NYJ,,MembAr00,armand-membou-1,Armand Membou,False,OL,OL,O,Missouri,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,8,CAR,,McMiTe00,tetairoa-mcmillan-1,Tetairoa McMillan,False,WR,WR,O,Arizona,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,9,NOR,,BankKe01,kelvin-banks-jr-1,Kelvin Banks,False,OL,OL,O,Texas,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,10,CHI,,LoveCo00,colston-loveland-1,Colston Loveland,False,TE,TE,O,Michigan,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,11,SFO,,WillMy00,mykel-williams-1,Mykel Williams,False,DL,DL,D,Georgia,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,12,DAL,,BookTy00,tyler-booker-1,Tyler Booker,False,OL,OL,O,Alabama,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,13,MIA,,GranKe01,kenneth-grant-2,Kenneth Grant,False,DT,DL,D,Michigan,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,14,IND,,WarrTy00,tyler-warren-1,Tyler Warren,False,TE,TE,O,Penn St.,23.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,15,ATL,,WalkJa02,jalon-walker-1,Jalon Walker,False,DE,DL,D,Georgia,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,16,ARI,,NoleWa00,walter-nolen-1,Walter Nolen,False,DT,DL,D,Mississippi,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,17,CIN,,StewSh00,shemar-stewart-1,Shemar Stewart,False,DE,DL,D,Texas A&M,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,18,SEA,,ZabeGr00,,Grey Zabel,False,OT,OL,O,North Dakota St.,23.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,19,TAM,,EgbuEm01,emeka-egbuka-1,Emeka Egbuka,False,WR,WR,O,Ohio St.,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,20,DEN,,BarrJa01,jahdae-barron-1,Jahdae Barron,False,CB,DB,D,Texas,23.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,21,PIT,,HarmDe01,derrick-harmon-2,Derrick Harmon,False,DT,DL,D,Oregon,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,22,LAC,,HampOm00,omarion-hampton-1,Omarion Hampton,False,RB,RB,O,North Carolina,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,23,GNB,,GoldMa02,matthew-golden-1,Matthew Golden,False,WR,WR,O,Texas,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,24,MIN,,JackDo03,donovan-jackson-1,Donovan Jackson,False,OL,OL,O,Ohio St.,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,25,NYG,,DartJa00,jaxson-dart-1,Jaxson Dart,False,QB,QB,O,Mississippi,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,26,ATL,,PearJa00,james-pearce-jr-1,James Pearce,False,DE,DL,D,Tennessee,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,27,BAL,,StarMa00,malaki-starks-1,Malaki Starks,False,SAF,DB,D,Georgia,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,28,DET,,WillTy02,tyleik-williams-1,Tyleik Williams,False,DT,DL,D,Ohio St.,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,29,WAS,,ConeJo00,josh-conerly-jr-1,Josh Conerly,False,OL,OL,O,Oregon,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,30,BUF,,HairMa00,maxwell-hairston-1,Maxwell Hairston,False,CB,DB,D,Kentucky,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,31,PHI,,CampJi00,jihaad-campbell-1,Jihaad Campbell,False,LB,LB,D,Alabama,21.0,,0,0,0,,,,,,,,,,,,,,,,,,
2025,1,32,KAN,,SimmJo01,josh-simmons-1,Josh Simmons,False,OL,OL,O,Ohio St.,22.0,,0,0,0,,,,,,,,,,,,,,,,,,
